Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Publication Share growth (%),Field-Weighted Citation Impact,Prominence percentile
Information Technology; Library and Information Science; Professional Development,TC.1118,23.0,0.32,-100.0,0.29,18.247
Internet of Things; Ultra-Wideband; Mobile Computing,TC.219,23.0,0.08,-100.0,1.0,80.706
Ultrasonics; Finite Element Method; Piezoelectricity,TC.301,23.0,0.1,-100.0,0.6,81.949
Volatility; Pricing; Stochastic Differential Equation,TC.840,23.0,0.17,-100.0,0.43,33.355
Taxation; Tax Avoidance; Transfer Pricing,TC.1458,23.0,0.39,-100.0,0.25,25.572
Control System; Parameter Estimation; Iterative Learning Control,TC.920,23.0,0.26,-100.0,0.61,45.455
Tilapia; Amino Acids; Feed Supplementation,TC.713,23.0,0.12,-100.0,1.12,83.976
Value at Risk; Fintech; Volatility,TC.1066,23.0,0.21,727.8,0.42,61.609
Lithium Ion Battery; Battery (Electrochemical Energy Engineering); Anode,TC.96,23.0,0.04,-100.0,0.85,99.608
Battery (Electrochemical Energy Engineering); Energy Engineering; Hybrid-Electric Vehicle,TC.541,23.0,0.09,-100.0,1.89,93.198
Prosthetics; Robot; Skeletal Muscle,TC.545,23.0,0.11,-100.0,0.33,74.493
Clinical Trial; Research Design; Meta-Analysis,TC.134,23.0,0.09,-100.0,0.45,77.175
Petroleum Reservoir; Flood; Carbon Dioxide,TC.202,23.0,0.09,54.5,0.88,85.023
Language Development; Dyslexia; Reading Comprehension,TC.229,23.0,0.1,1167.8,0.39,69.196
Reflective Practice; Professional Development; Student Learning,TC.839,23.0,0.16,-100.0,0.25,46.893
Crack Propagation; Finite Element Method; Fatigue Crack Growth,TC.243,22.0,0.14,736.8,0.63,56.246
Listeria monocytogenes; Food Microbiology; Clostridium,TC.786,22.0,0.19,-100.0,0.4,58.339
Gaussian Distribution; Maximum Likelihood Estimation; Statistics,TC.221,22.0,0.09,-100.0,0.23,59.647
Robot; Action Recognition; Gait Analysis,TC.338,22.0,0.06,-100.0,0.38,93.264
Silicon; Photoluminescence; Scanning Electron Microscopy,TC.611,22.0,0.34,-100.0,0.39,28.45
Silver Nanoparticle; Transmission Electron Microscopy; Nanomaterials,TC.804,22.0,0.12,-100.0,0.54,85.677
X-Ray Fluorescence Spectroscopy; Bismuth; Oxide Compound,TC.1337,22.0,0.32,,1.61,40.549
Machine Learning; Artificial Intelligence; Knowledge Acquisition,TC.192,22.0,0.11,-100.0,2.08,72.662
Formative Assessment; Student Learning; Recall (Cognitive Psychology),TC.1188,22.0,0.18,61.3,0.66,56.05
Pickering Emulsion; Surfactant; Silicon Dioxide,TC.888,22.0,0.12,130.5,1.35,93.983
Body Mass Index; Diabetes; Quality of Life,TC.136,22.0,0.08,484.9,0.21,84.173
Glyphosate; Agricultural Science; Electrospray,TC.595,22.0,0.13,-100.0,0.46,75.932
Vitiligo; Melanocyte; Polymerization,TC.728,22.0,0.15,-100.0,0.58,69.784
Smoke; Randomized Controlled Trial; Adolescent,TC.311,22.0,0.15,,0.26,55.396
Traffic Accident; Emergency Medical Service; Computed Tomography,TC.594,22.0,0.14,643.6,0.99,40.288
Magnetosphere; Spacecraft; Space Weather,TC.828,22.0,0.25,304.5,0.68,21.648
Quality of Life; Malnutrition; Randomized Controlled Trial,TC.177,22.0,0.08,-100.0,0.54,82.276
Antenna; Geological Survey; Microwave Imaging,TC.708,22.0,0.15,60.4,1.57,51.537
Total Hip Arthroplasty; Hip Joint; Dysplasia,TC.228,21.0,0.08,389.9,0.69,61.347
Self-Efficacy; Gender Difference; Education Research,TC.437,21.0,0.11,-100.0,0.3,61.216
Secondary Metabolite; Drug Screening; Antibacterial Activity,TC.1202,21.0,0.24,,0.27,44.474
Internet of Things; Routing Protocol; Energy Engineering,TC.46,21.0,0.08,446.4,0.72,79.398
Biomedical Signal Processing; Signal-to-Noise Ratio; Body Sensor Network,TC.731,21.0,0.13,-100.0,1.06,67.364
Quality of Life; Ophthalmology; Bacterial Eye Infection,TC.832,21.0,0.18,540.3,0.18,28.712
Metal-Oxide-Semiconductor Field-Effect Transistor; Field Effect Transistor; Silicon,TC.543,21.0,0.19,-100.0,0.25,32.243
Gait Analysis; Quality of Life; Neurodegenerative Disorder,TC.485,21.0,0.09,-100.0,0.72,80.052
Discourse Analysis; English Language; Linguistics,TC.799,21.0,0.13,-100.0,1.06,37.606
Antioxidant; Amino Acids; Bioactive Peptides,TC.953,21.0,0.16,20.0,1.07,73.185
Drug Delivery System; Chemotherapy; Biocompatibility,TC.129,20.0,0.05,96.7,1.84,99.019
Transport; Traffic Congestion; Control System,TC.567,20.0,0.09,-100.0,0.72,81.426
Retinal Blood Vessel; Choroid; Ophthalmology,TC.41,20.0,0.05,195.8,0.81,89.993
Antenna; Electronic Circuit; Ultra-Wideband,TC.110,20.0,0.08,-100.0,0.25,52.256
Fluorescence Spectroscopy; Electron Paramagnetic Resonance Spectroscopy; Protein Binding,TC.869,20.0,0.23,-100.0,0.65,54.611
Drug Delivery System; Ultraviolet Radiation; Cosmetics,TC.227,20.0,0.09,,0.94,87.247
Brain-Computer Interface; Electroencephalography; Biomedical Signal Processing,TC.476,20.0,0.08,98.4,1.02,87.639
Robot; Motion Planning; Obstacle Avoidance,TC.489,20.0,0.09,-100.0,0.4,73.905
Drug Delivery System; COVID-19; Severe Acute Respiratory Syndrome Coronavirus 2,TC.800,20.0,0.15,-100.0,1.07,61.282
Ignition; Computational Fluid Dynamics; Combustion Engine,TC.206,20.0,0.09,-100.0,0.58,79.202
Carbon Dioxide; Desorption; Natural Gas,TC.837,20.0,0.15,-100.0,0.58,85.939
Arsenic; Contaminated Soil; Potable Water,TC.225,20.0,0.07,161.0,0.56,94.572
Silicon; Solar Cell; Gallium,TC.347,20.0,0.18,715.3,1.41,59.124
Computer-Aided Instruction; Intelligent Tutoring System; Learning Style,TC.1167,20.0,0.21,-100.0,0.56,48.725
Sustainable Development Goals; Industrial Sector; Student Learning,TC.1179,20.0,0.18,,0.28,56.311
Quantum Chemistry; Molecular Modeling; Spectroscopy,TC.8,20.0,0.07,-100.0,0.58,88.62
Ferroelectricity; Perovskite; Barium,TC.13,20.0,0.06,28.7,0.61,93.133
Bearing Capacity; Soil Mechanics; Slope Stability,TC.495,20.0,0.1,-100.0,0.35,67.822
Emulsification; Antioxidant; Amino Acids,TC.582,20.0,0.08,-100.0,1.9,94.964
Earth Surface Sediment Transport; Coastal Erosion; Sea Level,TC.842,20.0,0.16,-100.0,1.63,48.005
Corrosion; Magnesium Oxide; Concrete Construction,TC.989,20.0,0.14,34.7,0.51,74.559
Climate Change; Disaster Management; Social Media,TC.438,19.0,0.06,,0.9,91.236
Structure Activity Relationship; Dose-Response Relationship; Drug Development,TC.848,19.0,0.21,473.2,1.28,45.324
Tape; Finite Element Method; Superconductivity,TC.904,19.0,0.23,128.9,0.44,22.891
Turbulent Flow; Boundary Layer; Large Eddy Simulation,TC.111,19.0,0.08,-100.0,0.14,73.512
Interpersonal Relations; Mental Health; Prosocial Behavior,TC.1004,19.0,0.13,-100.0,0.56,74.755
Data Management; Open Data; COVID-19,TC.1383,19.0,0.23,,0.29,21.387
Cell Proliferation; High Performance Liquid Chromatography; Dose-Response Relationship,TC.1426,19.0,0.33,-100.0,0.53,29.366
Dietary Supplement; Vitamin D; Randomized Controlled Trial,TC.297,19.0,0.09,725.4,0.81,77.567
Islam; Religion; Judaism,TC.1388,19.0,0.25,-100.0,0.57,4.774
Amino Acids; Nuclear Magnetic Resonance Spectroscopy; Liquid Chromatography,TC.628,19.0,0.09,156.6,0.38,87.312
Intimate Partner Violence; Domestic Violence; Sexual Assault,TC.478,19.0,0.09,-100.0,0.61,79.725
Carbon Dioxide Emission; Environmental Policy; Climate Change,TC.403,19.0,0.07,-100.0,0.42,96.795
Silicon; Solar Cell; Photovoltaics,TC.924,19.0,0.22,-100.0,1.74,43.427
Quality of Life; Severe Asthma; Magnesium,TC.11,18.0,0.05,-100.0,0.89,90.582
Urban Design; Architecture; Transport,TC.1257,18.0,0.18,-100.0,0.76,28.254
Medical Education; Internship; Health Service,TC.85,18.0,0.06,-100.0,0.46,71.681
Silicon Dioxide; Mesoporous Material; Scanning Electron Microscopy,TC.577,18.0,0.21,-100.0,0.6,54.742
Vortex Induced Vibration; Mechanical Vibration; Vortex Shedding,TC.430,18.0,0.09,189.2,0.36,65.598
Multimedia; Computer-Aided Instruction; Student Learning,TC.1216,18.0,0.24,-100.0,0.27,28.515
Human Study; Intraocular Lens Implantation; Depth Perception,TC.115,18.0,0.07,-100.0,0.84,68.149
Global Positioning System; Thermosphere; Planetary Atmosphere,TC.534,18.0,0.13,-100.0,0.29,44.147
Follicle; Gene Expression Profiling; Receptivity,TC.519,18.0,0.14,-100.0,0.86,56.508
Sensation of Taste; Behavior (Neuroscience); Taste Bud,TC.588,18.0,0.12,-100.0,0.24,74.297
Electronic Cigarette; Behavior (Neuroscience); Zoonoses,TC.623,18.0,0.09,-100.0,0.63,77.305
Indentation; Tribology; Ultimate Tensile Strength,TC.1014,18.0,0.14,-100.0,0.61,79.267
Weather Forecasting; Climate Change; Tropical Cyclone,TC.14,18.0,0.04,-100.0,0.51,92.086
Fractional Calculus; Differential Equation; Boundary Value Problems,TC.88,18.0,0.05,478.9,0.48,87.835
Radiomics; Computed Tomography; Image Processing,TC.1117,18.0,0.12,-100.0,1.21,71.942
Gene Expression Profiling; RNA Sequencing; Ontology,TC.501,18.0,0.08,-100.0,0.99,93.46
Harmful Algal Blooms; Acanthamoeba; Eutrophication,TC.410,18.0,0.12,-100.0,0.51,64.356
Image Processing; Synthetic Aperture Radar; Signal-to-Noise Ratio,TC.416,18.0,0.14,-100.0,0.35,44.604
Computational Fluid Dynamics; Large Eddy Simulation; Boundary Layer,TC.974,18.0,0.2,268.1,0.74,35.775
Electrodeposition; Scanning Electron Microscopy; Corrosion Resistance,TC.1019,18.0,0.25,-100.0,0.24,31.458
Bacterial Protein; Quorum-Sensing; Pseudomonas,TC.299,17.0,0.08,,0.34,82.08
Uranium; Radon; Gamma Spectroscopy,TC.398,17.0,0.11,-100.0,1.15,57.423
Gallium Nitride; Aluminum; Transistor,TC.59,17.0,0.08,-100.0,0.38,67.888
Industry; Industrial Policy; Innovation Systems,TC.245,17.0,0.08,-100.0,0.3,67.233
Sexual Behavior; Adolescent; Reproductive Public Health,TC.597,17.0,0.13,-100.0,0.51,49.182
Sustainable Development Goals; Energy Transition; Climate Change,TC.975,17.0,0.08,325.4,0.35,91.04
Vanadium; Leaching; Scanning Electron Microscopy,TC.1133,17.0,0.21,-100.0,0.98,42.315
Amino Acids; Sodium; Antioxidant,TC.871,17.0,0.11,243.6,1.84,78.548
Supply Chain Management; Pricing; Commerce,TC.521,17.0,0.08,-100.0,0.76,94.375
Soil Erosion; Earth Surface Sediment Transport; Geographic Information System,TC.986,17.0,0.14,-100.0,0.93,59.908
English Language; Corpus Linguistics; Academic Writing,TC.1232,17.0,0.14,1692.4,0.42,19.555
Enzyme Immobilization; Starch; Scanning Electron Microscopy,TC.722,17.0,0.15,-100.0,0.55,76.259
Gas Chromatography; Antioxidant Capacity; Polyphenol,TC.630,17.0,0.09,,0.78,86.658
Magnetic Resonance Imaging; Breast Density; Human Study,TC.233,17.0,0.08,-100.0,1.07,59.385
Global Positioning System; Radio Navigation; Antenna,TC.736,17.0,0.11,,0.3,47.09
Battery (Electrochemical Energy Engineering); Battery Management System; Lithium Ion Battery,TC.927,17.0,0.07,-100.0,0.85,96.403
Voltammetry; Scanning Electron Microscopy; Dopamine,TC.718,17.0,0.12,,0.5,85.808
Soil Carbon; Agricultural Science; Climate Change,TC.20,16.0,0.03,-100.0,0.89,96.861
Gaussian Process; Kriging; Machine Learning,TC.619,16.0,0.11,-100.0,0.47,48.855
Measles; Vaccine Hesitancy; Public Health,TC.980,16.0,0.14,,1.1,44.931
Speech Recognition; Deep Neural Network; Hidden Markov Model,TC.66,16.0,0.05,46.4,0.35,81.295
Happiness; Life Satisfaction; Emotion Regulation,TC.466,16.0,0.06,-100.0,0.44,85.088
Concussion; Athletes; Pediatrics,TC.830,16.0,0.11,-100.0,0.29,54.349
Methane; Hydrogen Production; Large Eddy Simulation,TC.187,16.0,0.05,-100.0,1.88,95.226
Methane; Emissions; Nitrous Oxide,TC.523,16.0,0.08,175.6,0.75,87.377
Magnetic Resonance Imaging; Chemotherapy; Human Study,TC.29,16.0,0.05,-100.0,0.59,83.846
Metal-Organic Framework; Coordination Polymer; Carbon Dioxide,TC.99,16.0,0.04,163.7,0.95,98.692
Osteoporosis; Computed Tomography; Cohort Study,TC.135,16.0,0.07,-100.0,0.3,70.569
Power Engineering; Transmission Network; Electric Power Transmission,TC.444,16.0,0.08,-100.0,0.45,68.999
Hydrogen Peroxide; Biosensor; Scanning Electron Microscopy,TC.634,16.0,0.12,-100.0,0.52,83.584
Water Distribution; Hydraulics; Water-Energy Nexus,TC.1157,16.0,0.17,136.9,0.84,48.594
Climate Change; Agricultural Science; Irrigation,TC.1218,16.0,0.12,582.6,0.33,72.793
Behavior (Neuroscience); Aves; Endangered Species,TC.64,15.0,0.06,-100.0,0.49,73.316
Electronic Circuit; Solder Joint; Finite Element Method,TC.355,15.0,0.12,-100.0,0.33,39.241
High Entropy Alloys; Titanium; Chromium Alloys,TC.404,15.0,0.06,-100.0,0.81,96.141
Computed Tomography; Intracerebral Hemorrhage; Transcranial Doppler,TC.418,15.0,0.08,-100.0,0.25,56.573
Electric Power; Induction Motor; Transmission Network,TC.552,15.0,0.08,-100.0,1.05,62.525
Whitefly; Pest Control; Enzyme,TC.878,15.0,0.12,-100.0,0.12,48.136
Silicon; Electric Discharge; Antenna,TC.1013,15.0,0.28,-100.0,1.3,16.089
Randomized Controlled Trial; Quality of Life; Anxiety Disorder,TC.148,15.0,0.06,,0.5,77.829
Genetics; DNA; Secondary Metabolite,TC.385,15.0,0.11,-100.0,0.21,53.172
Palladium; Cross-Coupling Reaction; Suzuki Coupling,TC.667,15.0,0.13,-100.0,0.18,68.803
Image Processing; Robot; Object Recognition,TC.34,15.0,0.05,-100.0,0.62,73.774
Ectomycorrhizal Fungi; Soil Microbiology; Mycorrhiza,TC.1028,15.0,0.14,,0.63,52.845
Abiotic Stress; Antioxidant; Gene Expression Profiling,TC.55,15.0,0.04,205.3,0.41,95.88
Methane; Feed Supplementation; Sheep,TC.104,15.0,0.05,-100.0,0.87,80.118
Quality of Service; Orthogonal Frequency Division Multiplexing; Telecommunication,TC.169,15.0,0.17,-100.0,0.27,19.686
Anorexia Nervosa; Eating Disorder; Perfectionism,TC.296,15.0,0.07,-100.0,0.13,85.481
Graphene; Chemical Vapor Deposition; Scanning Tunneling Microscopy,TC.368,15.0,0.07,-100.0,0.33,84.696
Quality of Life; Social Support; Nursing Home,TC.449,15.0,0.07,-100.0,0.55,70.7
Cerebellum; Eye Movement; Purkinje Cell,TC.492,15.0,0.1,-100.0,0.94,55.526
Data Visualization; Visual Analytics; Information System,TC.1054,15.0,0.15,479.8,0.47,28.908
Ruthenium; Polymerization; Molybdenum,TC.1166,15.0,0.4,261.4,0.21,18.182
Phosphor; Luminescence; Emission Spectroscopy,TC.58,15.0,0.04,-100.0,0.57,96.73
Quality of Life; Adolescent; Cognitive Behavioral Therapy,TC.396,15.0,0.06,-100.0,0.66,86.135
Magnetic Resonance Imaging; Tau; Cognitive Function,TC.137,14.0,0.04,-100.0,0.75,92.74
Quality of Life; Adolescent; Pediatrics,TC.1055,14.0,0.13,399.0,0.72,42.25
Soundscapes; Sound Quality; Road,TC.1289,14.0,0.19,940.3,0.47,32.44
Magnetic Resonance Imaging; Transmission Electron Microscopy; Iron Oxide,TC.390,14.0,0.08,100.4,1.26,86.004
Dopaminergic Neuron; Substantia nigra; Neurodegenerative Disorder,TC.782,14.0,0.1,-100.0,0.45,76.651
Antibiotics; Drug Utilization; Primary Health Care,TC.992,14.0,0.11,-100.0,0.65,58.927
Robot; Artificial Intelligence; Software Engineering,TC.877,14.0,0.09,818.1,0.89,70.111
Bacterial Protein; Spectroscopy; Green Fluorescent Protein,TC.1044,14.0,0.14,-100.0,1.13,60.039
Spline; Wavelet; Interpolation,TC.1173,14.0,0.28,-100.0,0.34,12.034
Climate Change; Extreme Event; Global Warming,TC.774,14.0,0.08,1278.8,1.13,80.314
Psychometrics; Rasch Analysis; Item Response Theory,TC.1298,14.0,0.2,-100.0,0.24,17.986
Polyester; Ultimate Tensile Strength; Density,TC.1120,14.0,0.2,699.3,0.38,18.116
DNA; Polymerase Chain Reaction; Animal Morphology,TC.1314,14.0,0.17,-100.0,0.43,21.975
Magnetic Resonance Imaging; Relapsing Remitting Multiple Sclerosis; Quality of Life,TC.83,14.0,0.04,,2.18,86.331
Parasite (Microbiology); Strongyloides; Giardia lamblia,TC.916,14.0,0.14,-100.0,0.57,39.634
Mesenchymal Stem Cell; Adipose Tissue; Regenerative Medicine,TC.63,14.0,0.05,-100.0,0.55,90.517
Control System; Predictive Control Model; Linear Matrix Inequality,TC.167,14.0,0.09,-100.0,0.65,49.575
Anthocyanin; Antioxidant Capacity; Polyphenol,TC.771,14.0,0.08,,0.79,80.641
Microsatellite DNA; Genetics; RNA,TC.10,13.0,0.04,,0.39,82.407
Wastewater Treatment; Composting; Biodegradation,TC.1265,13.0,0.16,-100.0,0.88,54.088
Bronchiolitis; Neonatal Infant; Foot and Mouth Disease,TC.348,13.0,0.07,-100.0,0.85,73.708
Corrosion; Duplex Stainless Steel; Scanning Electron Microscopy,TC.432,13.0,0.09,-100.0,0.24,65.206
Robot; Artificial Intelligence; Image Processing,TC.601,13.0,0.07,189.6,0.74,66.187
Robot; Manipulator; Remote Control,TC.1185,13.0,0.21,-100.0,0.68,20.929
Silicon Dioxide; Scanning Electron Microscopy; Sodium,TC.1368,13.0,0.24,-100.0,0.49,26.815
Carbon Quantum Dot; Light-Emitting Diode; Aggregation-Induced Emission,TC.84,13.0,0.04,,1.3,97.776
Anterior Cruciate Ligament; Knee Joint; Athletes,TC.166,13.0,0.05,-100.0,0.51,77.894
Environmental Monitoring; Emissions; Nutrition,TC.694,13.0,0.07,,1.65,91.563
Intensive Care Unit; Acute Lung Injury; COVID-19,TC.361,13.0,0.07,-100.0,0.69,68.934
Pool Boiling; Two Phase Flow; Computational Fluid Dynamics,TC.427,13.0,0.07,-100.0,0.73,77.109
Quality of Service; Internet Protocol; Network Architecture,TC.76,13.0,0.11,-100.0,0.36,28.319
Staphylococcus aureus; Bacterial Protein; Genome Sequencing,TC.306,13.0,0.08,-100.0,0.4,63.244
Barium; Yttrium; Superconductivity,TC.696,13.0,0.29,,0.81,12.753
Multiple Drug Resistance; Carbapenem; Antibiotics,TC.21,13.0,0.03,-100.0,0.35,97.253
Glomerular Filtration Rate; Quality of Life; Cohort Study,TC.273,13.0,0.06,,1.52,77.24
Functional Magnetic Resonance Imaging; Bilingualism; Brain Mapping,TC.440,13.0,0.08,-100.0,0.61,55.788
Enthalpy; Solvent Extraction; Liquid-Liquid Equilibrium,TC.436,13.0,0.12,260.0,0.43,40.419
Transport; Travel Time; Traffic Congestion,TC.565,13.0,0.07,-100.0,0.17,74.166
Control System; Predictive Control Model; Road,TC.719,13.0,0.07,-100.0,0.55,63.767
Quality of Service; Internet of Things; Access Control,TC.639,13.0,0.18,816.7,0.37,15.435
Health Service; Discrimination; Quality of Life,TC.1114,13.0,0.11,-100.0,0.32,34.729
Fluidics; Digital Microfluidics; Analytical Method,TC.112,12.0,0.06,,0.15,84.238
Polycyclic Aromatic Hydrocarbons; Environmental Monitoring; Gas Chromatography,TC.171,12.0,0.06,,0.51,87.704
Amplifier; Electronic Circuit; Ultra-Wideband,TC.174,12.0,0.07,-100.0,0.28,33.944
Fusarium; Plant Diseases; Biological Control,TC.660,12.0,0.08,-100.0,1.19,61.871
Saffron; High Performance Liquid Chromatography; Mitochondrial Protein,TC.1056,12.0,0.13,,0.4,39.111
Neonatal Infant; Body Mass Index; Obstetrics,TC.248,12.0,0.05,,0.08,65.729
Special Education; Children with Disabilities; Early Intervention,TC.796,12.0,0.07,-100.0,0.35,65.141
Computed Tomography; Human Study; Cervical Spine,TC.28,12.0,0.03,-100.0,0.35,84.369
Quality of Life; Colon; Randomized Controlled Trial,TC.378,12.0,0.07,,0.75,63.702
Drug Delivery System; Pharmaceutical Chemistry; Differential Scanning Calorimetry,TC.613,12.0,0.08,-100.0,1.2,82.603
Bacterial Protein; Biochemistry; Secondary Metabolite,TC.944,12.0,0.14,,0.2,48.79
Quantitative Structure-Activity Relationship; Number; Edge,TC.1149,12.0,0.15,-100.0,0.57,35.971
Forestry; Forest Management; Airborne Laser Scanning,TC.1259,12.0,0.15,-100.0,1.92,39.961
Antenna; Metamaterial; Selective Surface,TC.193,12.0,0.03,-100.0,0.53,91.171
DNA; Computed Tomography; B Cell,TC.4,12.0,0.02,233.5,0.38,92.675
Edge Computing; Internet of Things; Computation Offloading,TC.138,12.0,0.04,630.8,0.25,87.901
Public Administration; Local Government; Democracy,TC.493,12.0,0.06,-100.0,0.21,67.953
Endangered Species; Farm Animal; Natural Resource,TC.689,12.0,0.08,-100.0,0.35,53.237
Forensic Medicine; Pediatrics; Burn Unit,TC.699,12.0,0.1,-100.0,0.82,27.861
Nursing Education; Pediatrics; Patient Safety,TC.730,12.0,0.06,-100.0,0.46,62.067
Emergency Medical Service; Percutaneous Coronary Intervention; Basic Life Support,TC.744,12.0,0.07,,0.33,65.991
Bacterial Protein; Enzyme; Amino Acids,TC.973,12.0,0.15,,0.55,39.045
Postpartum Depression; Mental Health; Social Support,TC.983,12.0,0.08,-100.0,0.66,69.392
Finite Group; Number; Edge,TC.1306,12.0,0.21,-100.0,0.11,5.886
Raman Spectroscopy; Fourier Transform Infrared Spectroscopy; Principal Component Analysis,TC.959,12.0,0.13,0.9,0.49,47.94
Malnutrition; Toddlers; Neonatal Infant,TC.1073,12.0,0.09,,0.16,58.666
Hydrogenation; Sulfur Compound; Molybdenum,TC.1180,12.0,0.17,,0.77,52.126
Biological Control; Forestry; Vegetation,TC.686,12.0,0.09,,0.84,53.368
Health Service; Neonatal Infant; Rural Population,TC.759,12.0,0.07,-100.0,0.12,59.451
Diabetes; Diabetic Foot Ulcer; Nerve Fiber,TC.783,12.0,0.09,-100.0,0.73,53.499
Plant Defense; Biological Control; Gene Expression Profiling,TC.964,12.0,0.12,-100.0,0.43,42.708
Slope Stability; Bearing Capacity; Seismic Response,TC.1010,12.0,0.11,-100.0,0.5,45.258
Concrete Construction; Engineering; Rock Mechanics,TC.1071,12.0,0.08,-100.0,0.28,61.478
Cadmium; Solar Cell; Gallium Arsenide,TC.1260,12.0,0.34,647.1,0.86,9.483
Strain Rate; Austenite; Martensite,TC.178,12.0,0.06,277.2,0.25,71.485
Internationalization; Outward Foreign Direct Investment; Emerging Market,TC.635,12.0,0.08,,0.49,71.027
Terrorism; Islamic State; Social Media,TC.1409,12.0,0.17,1063.9,0.63,18.705
Electronic Health Record; Health Care; Medical Informatics,TC.365,12.0,0.07,,0.52,60.628
English Language; Digital Storytelling; Multimodality,TC.1378,12.0,0.17,-100.0,0.48,20.209
Influenza; Aves; Hemagglutinin,TC.78,12.0,0.05,,1.36,80.772
Proton-Exchange Membrane Fuel Cells; Dielectric Spectroscopy; Hydrogen,TC.898,12.0,0.1,69.7,1.31,79.66
Polymerization; Atom-Transfer Radical-Polymerization; Styrene,TC.1110,12.0,0.25,,0.52,33.29
Superfluid; Bose-Einstein Condensate; Metamaterial,TC.52,11.0,0.04,-100.0,1.0,89.339
Computed Tomography; Magnetic Resonance Imaging; Coronary Vessel,TC.182,11.0,0.04,-100.0,1.01,75.736
Athletes; Skeletal Muscle; Dietary Supplement,TC.683,11.0,0.08,-100.0,0.3,58.208
Finite Element Method; Antenna; Ultimate Tensile Strength,TC.1356,11.0,0.18,-100.0,0.73,17.528
Asian Rice; Common Wheat; Irrigation,TC.1007,11.0,0.1,-100.0,0.58,48.528
Photonics; Optical Resonator; Nonlinear Optics,TC.108,11.0,0.05,-100.0,0.34,67.43
English Language; Linguistics; English-Medium Instruction,TC.752,11.0,0.05,,0.54,50.229
Corrosion; Dielectric Spectroscopy; Aluminum,TC.1193,11.0,0.17,109.7,0.21,35.579
Oxide Compound; Silicon; Hafnium,TC.286,11.0,0.11,-100.0,2.56,39.438
Data Mining; Image Segmentation; Artificial Intelligence,TC.875,11.0,0.1,-100.0,0.25,38.914
Chemistry; Palladium; Asymmetric Synthesis,TC.1051,11.0,0.24,-100.0,0.17,20.667
Knee Joint; Tibia; Total Hip Arthroplasty,TC.320,11.0,0.04,,0.34,68.345
Immune Checkpoint Inhibitor; Programmed Death-Ligand 1; Tumor Infiltrating Lymphocyte,TC.421,11.0,0.02,,0.47,97.973
Tympanic Membrane; Computed Tomography; Pediatrics,TC.678,11.0,0.09,525.5,0.21,28.581
Self-Efficacy; Academic Performance; High School Student,TC.1147,11.0,0.09,,0.51,64.094
Functional Magnetic Resonance Imaging; Brain Mapping; Electroencephalography,TC.97,11.0,0.03,-100.0,0.19,91.432
Radiation Therapy Planning; Computed Tomography; Imaging Phantom,TC.304,11.0,0.05,-100.0,0.37,64.29
Photonics; Passive Optical Network; Indium,TC.330,11.0,0.08,-100.0,0.34,36.625
Loneliness; Social Support; Mental Health,TC.717,11.0,0.06,-100.0,0.34,73.447
Volunteering; Altruism; Pricing,TC.851,11.0,0.1,643.9,0.42,43.362
Eutrophication; Calcite; Climate Change,TC.324,11.0,0.05,150.9,0.51,84.827
Plasmodium falciparum; Parasite (Microbiology); Drug Combination,TC.351,11.0,0.08,-100.0,0.8,64.225
Ontology; Semantic Web; Linked Data,TC.94,11.0,0.06,262.8,0.18,49.248
Nucleation; Crystallization; X-Ray Diffraction,TC.777,11.0,0.1,-100.0,0.38,46.043
Substance Abuse; Liquid Chromatography; Forensic Toxicology,TC.803,11.0,0.08,132.4,0.66,72.989
Edge; Number; Mathematics,TC.71,10.0,0.04,-100.0,0.12,49.052
Colorectal Cancer; Colon; Primary Health Care,TC.522,10.0,0.06,453.5,0.62,63.898
Mental Health; Quality of Life; Empathy,TC.892,10.0,0.06,,0.39,79.464
Energy Engineering; District Heating; Renewable Energy Resource,TC.1062,10.0,0.07,-100.0,0.39,82.995
Meme; Social Media; Pediatrics,TC.1427,10.0,0.13,-100.0,0.27,18.967
Diachronic Linguistics; Language Family; Dialectology,TC.1513,10.0,0.3,,0.16,4.84
Computed Tomography; Human Study; Oncogene Protein,TC.141,10.0,0.04,-100.0,0.16,47.286
Facial Nerve; Human Study; Negative Pressure Wound Therapy,TC.189,10.0,0.05,-100.0,0.19,39.503
Neuralgia; Hippocampus; Central Nervous System,TC.226,10.0,0.05,428.9,0.26,89.209
Carotenoid; Beta-Carotene; Antioxidant,TC.1002,10.0,0.09,,0.98,66.056
Temporomandibular Joint; Masticatory Muscle; Thermography,TC.1030,10.0,0.1,,0.51,43.165
COVID-19; Aspergillus; Bacterial Vaginosis,TC.91,10.0,0.04,573.2,1.36,83.257
Vibration Control; Manipulator; Robot,TC.937,10.0,0.09,520.9,0.21,55.134
Rough Set; Data Mining; Information System,TC.1098,10.0,0.15,-100.0,0.41,31.001
Urban Policy; Global South; Welfare,TC.1262,10.0,0.1,,0.56,42.381
Frailty; Intensive Care Unit; Frail Elderly,TC.132,10.0,0.03,329.6,1.18,88.816
Permanent Magnet Synchronous Motor; Induction Motor; Control System,TC.563,10.0,0.07,408.7,1.38,47.155
Neonatal Infant; Human Milk; Feeding Behavior,TC.674,10.0,0.07,,0.26,54.807
Social Media; Computer Forensics; Cybersecurity,TC.994,10.0,0.06,-100.0,1.03,71.158
Adoption; Mental Health; Neglect,TC.446,10.0,0.05,-100.0,0.28,76.848
